time,gFx,gFy,gFz,TgF
22:10:37:534,0.8878,-0.0440,0.4992,1.026
22:10:37:535,0.8868,-0.0447,0.4967,1.024
22:10:37:537,0.8851,-0.0450,0.4933,1.021
22:10:37:541,0.8819,-0.0445,0.4906,1.017
22:10:37:542,0.8793,-0.0442,0.4884,1.013
22:10:37:543,0.8761,-0.0437,0.4857,1.009
22:10:37:545,0.8732,-0.0430,0.4823,1.005
22:10:37:547,0.8727,-0.0435,0.4806,1.004
22:10:37:549,0.8734,-0.0435,0.4801,1.004
22:10:37:551,0.8744,-0.0437,0.4806,1.005
22:10:37:553,0.8758,-0.0430,0.4823,1.007
22:10:37:555,0.8761,-0.0423,0.4852,1.009
22:10:37:569,0.8761,-0.0413,0.4870,1.010
22:10:37:570,0.8766,-0.0406,0.4867,1.010
22:10:37:571,0.8768,-0.0413,0.4865,1.010
22:10:37:572,0.8758,-0.0425,0.4867,1.010
22:10:37:573,0.8753,-0.0430,0.4870,1.009
22:10:37:574,0.8756,-0.0435,0.4870,1.009
22:10:37:574,0.8763,-0.0442,0.4865,1.010
22:10:37:575,0.8763,-0.0450,0.4862,1.010
22:10:37:576,0.8763,-0.0459,0.4862,1.010
22:10:37:577,0.8768,-0.0467,0.4877,1.011
22:10:37:578,0.8785,-0.0464,0.4887,1.013
22:10:37:593,0.8807,-0.0464,0.4892,1.015
22:10:37:595,0.8819,-0.0467,0.4892,1.016
22:10:37:596,0.8829,-0.0472,0.4879,1.016
22:10:37:597,0.8829,-0.0472,0.4857,1.015
22:10:37:598,0.8822,-0.0467,0.4840,1.014
22:10:37:599,0.8819,-0.0474,0.4830,1.013
22:10:37:600,0.8815,-0.0481,0.4833,1.013
22:10:37:601,0.8807,-0.0479,0.4833,1.012
22:10:37:602,0.8788,-0.0469,0.4830,1.010
22:10:37:602,0.8771,-0.0464,0.4835,1.009
22:10:37:603,0.8758,-0.0464,0.4838,1.008
22:10:37:604,0.8751,-0.0472,0.4830,1.007
22:10:37:605,0.8756,-0.0481,0.4828,1.007
22:10:37:609,0.8766,-0.0484,0.4830,1.008
22:10:37:611,0.8775,-0.0476,0.4823,1.009
22:10:37:612,0.8783,-0.0474,0.4801,1.008
22:10:37:613,0.8802,-0.0484,0.4782,1.009
22:10:37:614,0.8827,-0.0501,0.4777,1.011
22:10:37:615,0.8841,-0.0511,0.4787,1.013
22:10:37:617,0.8844,-0.0508,0.4796,1.013
22:10:37:619,0.8839,-0.0503,0.4804,1.013
22:10:37:621,0.8822,-0.0501,0.4818,1.013
22:10:37:623,0.8805,-0.0493,0.4840,1.012
22:10:37:628,0.8802,-0.0486,0.4877,1.014
22:10:37:630,0.8812,-0.0479,0.4916,1.017
22:10:37:632,0.8827,-0.0479,0.4940,1.019
22:10:37:634,0.8844,-0.0474,0.4953,1.021
22:10:37:635,0.8851,-0.0469,0.4955,1.022
22:10:37:635,0.8844,-0.0459,0.4955,1.021
22:10:37:638,0.8822,-0.0442,0.4933,1.018
22:10:37:639,0.8810,-0.0428,0.4923,1.017
22:10:37:641,0.8824,-0.0423,0.4931,1.018
22:10:37:643,0.8844,-0.0425,0.4945,1.021
22:10:37:645,0.8863,-0.0423,0.4950,1.023
22:10:37:647,0.8871,-0.0413,0.4940,1.023
22:10:37:650,0.8871,-0.0413,0.4933,1.023
22:10:37:651,0.8866,-0.0415,0.4923,1.022
22:10:37:653,0.8854,-0.0413,0.4916,1.020
22:10:37:655,0.8849,-0.0408,0.4926,1.020
22:10:37:659,0.8856,-0.0401,0.4955,1.022
22:10:37:661,0.8871,-0.0393,0.4987,1.025
22:10:37:662,0.8856,-0.0381,0.5009,1.025
22:10:37:663,0.8822,-0.0379,0.5033,1.023
22:10:37:665,0.8780,-0.0381,0.5058,1.021
22:10:37:668,0.8744,-0.0366,0.5063,1.018
22:10:37:669,0.8722,-0.0359,0.5060,1.016
22:10:37:671,0.8697,-0.0364,0.5075,1.015
22:10:37:675,0.8692,-0.0379,0.5102,1.016
22:10:37:677,0.8712,-0.0393,0.5151,1.020
22:10:37:677,0.8714,-0.0393,0.5180,1.022
22:10:37:682,0.8658,-0.0381,0.5182,1.017
22:10:37:683,0.8600,-0.0369,0.5177,1.012
22:10:37:684,0.8556,-0.0359,0.5170,1.008
