time,gFx,gFy,gFz,TgF
22:08:07:313,0.8402,0.0840,0.4041,0.948
22:08:07:316,0.8482,0.0948,0.3758,0.945
22:08:07:317,0.8539,0.1004,0.3641,0.946
22:08:07:318,0.8710,0.1116,0.3477,0.957
22:08:07:321,0.8903,0.1222,0.3484,0.976
22:08:07:323,0.9064,0.1346,0.3800,1.005
22:08:07:325,0.9245,0.1559,0.4303,1.046
22:08:07:326,0.9318,0.1722,0.4581,1.068
22:08:07:329,0.9223,0.1781,0.4569,1.061
22:08:07:331,0.9066,0.1832,0.4515,1.046
22:08:07:333,0.9010,0.1879,0.4652,1.048
22:08:07:339,0.9096,0.1913,0.4931,1.069
22:08:07:340,0.9176,0.1964,0.5111,1.086
22:08:07:340,0.9152,0.2003,0.5085,1.083
22:08:07:341,0.9052,0.2003,0.4992,1.071
22:08:07:343,0.8920,0.1991,0.4970,1.058
22:08:07:345,0.8766,0.1986,0.4992,1.046
22:08:07:348,0.8592,0.1969,0.4943,1.029
22:08:07:350,0.8455,0.1950,0.4789,1.009
22:08:07:353,0.8389,0.1920,0.4601,0.994
22:08:07:354,0.8065,0.1869,0.4442,0.958
22:08:07:355,0.7266,0.1796,0.4251,0.880
22:08:07:358,0.7019,0.1654,0.3807,0.834
22:08:07:359,0.7446,0.1446,0.3091,0.835
22:08:07:362,0.8065,0.1241,0.2473,0.865
22:08:07:364,0.8592,0.1068,0.2155,0.902
22:08:07:365,0.8961,0.0941,0.2077,0.934
22:08:07:369,0.9220,0.0867,0.2153,0.959
22:08:07:370,0.9379,0.0845,0.2243,0.976
22:08:07:371,0.9499,0.0843,0.2297,0.989
22:08:07:374,0.9848,0.0750,0.2405,1.024
22:08:07:375,0.9941,0.0694,0.2524,1.035
22:08:07:378,0.9804,0.0745,0.2641,1.026
22:08:07:380,0.9635,0.0860,0.2832,1.017
22:08:07:381,0.9494,0.1002,0.3133,1.015
22:08:07:388,0.9418,0.1121,0.3392,1.019
22:08:07:389,0.9313,0.1204,0.3536,1.015
22:08:07:390,0.9169,0.1273,0.3570,1.005
22:08:07:391,0.8951,0.1312,0.3470,0.982
22:08:07:392,0.8644,0.1322,0.3289,0.947
22:08:07:393,0.8480,0.1314,0.3191,0.929
22:08:07:395,0.8201,0.1273,0.3020,0.896
22:08:07:404,0.8113,0.1202,0.2878,0.882
22:08:07:406,0.8189,0.1112,0.2725,0.882
22:08:07:407,0.8245,0.0997,0.2588,0.881
22:08:07:408,0.8240,0.0875,0.2478,0.875
22:08:07:409,0.8311,0.0740,0.2392,0.877
22:08:07:409,0.8446,0.0608,0.2319,0.886
22:08:07:410,0.8590,0.0472,0.2241,0.896
22:08:07:411,0.8712,0.0354,0.2146,0.904
22:08:07:413,0.8795,0.0279,0.2048,0.909
22:08:07:416,0.8863,0.0237,0.1972,0.913
22:08:07:418,0.8964,0.0205,0.1926,0.922
22:08:07:419,0.9118,0.0173,0.1909,0.936
22:08:07:421,0.9257,0.0166,0.1926,0.950
22:08:07:422,0.9394,0.0171,0.1965,0.964
22:08:07:425,0.9518,0.0176,0.2014,0.977
22:08:07:427,0.9635,0.0208,0.2053,0.990
22:08:07:429,0.9714,0.0266,0.2067,0.998
22:08:07:431,0.9738,0.0342,0.2055,1.001
22:08:07:433,0.9716,0.0406,0.2011,0.998
22:08:07:435,0.9677,0.0462,0.1950,0.994
22:08:07:437,0.9631,0.0518,0.1867,0.988
22:08:07:439,0.9565,0.0577,0.1755,0.980
22:08:07:440,0.9499,0.0643,0.1633,0.972
22:08:07:443,0.9438,0.0696,0.1508,0.964
22:08:07:445,0.9425,0.0735,0.1408,0.962
22:08:07:449,0.9420,0.0770,0.1325,0.961
22:08:07:450,0.9420,0.0806,0.1239,0.960
22:08:07:451,0.9469,0.0833,0.1168,0.964
22:08:07:453,0.9543,0.0850,0.1095,0.970
