time,gFx,gFy,gFz,TgF
21:50:08:936,0.8087,0.0127,0.5969,1.017
21:50:08:939,0.8089,0.0164,0.6006,1.019
21:50:08:940,0.8177,0.0225,0.5969,1.024
21:50:08:942,0.8297,0.0308,0.5942,1.033
21:50:08:944,0.8431,0.0420,0.5935,1.044
21:50:08:946,0.8519,0.0520,0.5923,1.052
21:50:08:948,0.8580,0.0613,0.5949,1.059
21:50:08:950,0.8636,0.0689,0.6008,1.068
21:50:08:952,0.8653,0.0738,0.6040,1.071
21:50:08:955,0.8639,0.0726,0.6028,1.069
21:50:08:956,0.8670,0.0674,0.5984,1.069
21:50:08:958,0.8719,0.0625,0.5908,1.068
21:50:08:960,0.8746,0.0586,0.5791,1.063
21:50:08:962,0.8773,0.0577,0.5649,1.057
21:50:08:964,0.8881,0.0574,0.5522,1.059
21:50:08:966,0.8942,0.0569,0.5463,1.061
21:50:08:968,0.9047,0.0574,0.5336,1.064
21:50:08:970,0.9147,0.0603,0.5197,1.065
21:50:08:973,0.9210,0.0645,0.5065,1.065
21:50:08:975,0.9259,0.0689,0.4936,1.063
21:50:08:976,0.9318,0.0738,0.4796,1.062
21:50:08:978,0.9391,0.0772,0.4652,1.062
21:50:08:980,0.9447,0.0801,0.4510,1.061
21:50:08:982,0.9445,0.0848,0.4376,1.056
21:50:08:984,0.9362,0.0916,0.4210,1.042
21:50:08:986,0.9284,0.0980,0.4071,1.030
21:50:08:991,0.9225,0.1021,0.3980,1.022
21:50:08:993,0.9132,0.1048,0.3902,1.011
21:50:08:994,0.9042,0.1041,0.3848,1.000
21:50:08:994,0.8939,0.1009,0.3812,0.989
21:50:08:995,0.8834,0.0963,0.3792,0.978
21:50:08:998,0.8744,0.0911,0.3814,0.970
21:50:08:999,0.8680,0.0838,0.3858,0.965
21:50:09:002,0.8626,0.0738,0.3902,0.961
21:50:09:004,0.8558,0.0643,0.3963,0.956
21:50:09:007,0.8490,0.0547,0.4054,0.953
21:50:09:009,0.8394,0.0447,0.4198,0.950
21:50:09:010,0.8297,0.0342,0.4396,0.950
21:50:09:011,0.8280,0.0230,0.4620,0.958
21:50:09:014,0.8321,0.0095,0.4801,0.970
21:50:09:016,0.8375,-0.0034,0.4877,0.978
21:50:09:017,0.8436,-0.0159,0.4865,0.982
21:50:09:019,0.8499,-0.0274,0.4789,0.983
