time,gFx,gFy,gFz,TgF
21:13:01:950,0.9000,0.0699,-0.2831,0.944
21:13:01:953,0.9059,0.0696,-0.2816,0.949
21:13:01:956,0.9127,0.0691,-0.2807,0.955
21:13:01:957,0.9171,0.0694,-0.2797,0.959
21:13:01:958,0.9191,0.0691,-0.2782,0.961
21:13:01:960,0.9223,0.0684,-0.2809,0.964
21:13:01:962,0.9249,0.0679,-0.2882,0.969
21:13:01:964,0.9267,0.0689,-0.2995,0.974
21:13:01:966,0.9284,0.0733,-0.3151,0.981
21:13:01:968,0.9274,0.0796,-0.3295,0.985
21:13:01:970,0.9264,0.0877,-0.3437,0.990
21:13:01:972,0.9262,0.0955,-0.3591,0.996
21:13:01:974,0.9281,0.1029,-0.3762,1.005
21:13:01:976,0.9301,0.1107,-0.3923,1.014
21:13:01:978,0.9337,0.1187,-0.4070,1.024
21:13:01:980,0.9391,0.1253,-0.4194,1.034
21:13:01:982,0.9450,0.1295,-0.4287,1.044
21:13:01:985,0.9538,0.1324,-0.4360,1.055
21:13:01:987,0.9670,0.1346,-0.4436,1.071
21:13:01:988,0.9775,0.1339,-0.4478,1.082
21:13:01:990,0.9885,0.1324,-0.4512,1.093
21:13:01:992,0.9987,0.1290,-0.4497,1.101
21:13:01:994,1.0105,0.1275,-0.4536,1.113
21:13:01:996,1.0256,0.1268,-0.4522,1.126
21:13:01:998,1.0324,0.1197,-0.4419,1.127
21:13:02:000,1.0315,0.1065,-0.4299,1.120
21:13:02:005,1.0251,0.0919,-0.4221,1.109
21:13:02:006,1.0144,0.0801,-0.4140,1.095
21:13:02:007,1.0051,0.0723,-0.4021,1.081
21:13:02:009,0.9997,0.0667,-0.3886,1.071
21:13:02:010,0.9982,0.0611,-0.3772,1.065
21:13:02:012,0.9982,0.0555,-0.3669,1.061
21:13:02:013,0.9963,0.0506,-0.3579,1.056
21:13:02:016,0.9892,0.0450,-0.3498,1.046
21:13:02:018,0.9853,0.0415,-0.3459,1.041
21:13:02:020,0.9765,0.0340,-0.3381,1.029
21:13:02:023,0.9677,0.0276,-0.3302,1.018
21:13:02:024,0.9504,0.0169,-0.3100,0.995
21:13:02:026,0.9323,0.0039,-0.2872,0.970
21:13:02:027,0.9350,0.0015,-0.2868,0.972
21:13:02:029,0.9501,0.0071,-0.2914,0.989
21:13:02:031,0.9694,0.0149,-0.3002,1.010
21:13:02:035,0.9882,0.0210,-0.3153,1.033
21:13:02:037,1.0021,0.0227,-0.3254,1.049
21:13:02:038,1.0092,0.0237,-0.3249,1.056
21:13:02:039,1.0114,0.0261,-0.3180,1.056
21:13:02:042,1.0097,0.0283,-0.3083,1.052
21:13:02:044,1.0034,0.0296,-0.3002,1.044
21:13:02:046,0.9973,0.0305,-0.2968,1.037
21:13:02:047,0.9919,0.0325,-0.2982,1.032
21:13:02:050,0.9841,0.0357,-0.3039,1.027
21:13:02:053,0.9714,0.0410,-0.3100,1.017
21:13:02:055,0.9604,0.0489,-0.3156,1.008
21:13:02:056,0.9565,0.0559,-0.3239,1.008
21:13:02:057,0.9697,0.0528,-0.3327,1.023
21:13:02:059,0.9821,0.0467,-0.3395,1.036
21:13:02:062,0.9726,0.0511,-0.3420,1.028
21:13:02:064,0.9584,0.0552,-0.3420,1.015
21:13:02:065,0.9533,0.0489,-0.3395,1.009
21:13:02:069,0.9601,0.0281,-0.3332,1.012
21:13:02:071,0.9694,0.0012,-0.3285,1.017
21:13:02:071,0.9687,-0.0181,-0.3288,1.016
21:13:02:074,0.9533,-0.0244,-0.3332,1.003
