time,gFx,gFy,gFz,TgF
21:31:45:606,0.9281,0.1007,0.2908,0.988
21:31:45:608,0.9262,0.0941,0.2891,0.985
21:31:45:609,0.9271,0.0880,0.2883,0.984
21:31:45:610,0.9286,0.0818,0.2874,0.985
21:31:45:611,0.9303,0.0782,0.2844,0.985
21:31:45:612,0.9315,0.0755,0.2800,0.984
21:31:45:620,0.9320,0.0733,0.2771,0.984
21:31:45:621,0.9337,0.0718,0.2754,0.985
21:31:45:623,0.9352,0.0718,0.2747,0.986
21:31:45:625,0.9337,0.0730,0.2749,0.985
21:31:45:626,0.9313,0.0748,0.2751,0.983
21:31:45:626,0.9298,0.0777,0.2751,0.982
21:31:45:627,0.9271,0.0796,0.2751,0.979
21:31:45:628,0.9225,0.0814,0.2759,0.975
21:31:45:630,0.9188,0.0838,0.2769,0.973
21:31:45:632,0.9171,0.0850,0.2778,0.971
21:31:45:634,0.9147,0.0872,0.2805,0.970
21:31:45:640,0.9127,0.0882,0.2832,0.969
21:31:45:641,0.9105,0.0887,0.2842,0.968
21:31:45:642,0.9091,0.0894,0.2842,0.966
21:31:45:642,0.9071,0.0901,0.2844,0.965
21:31:45:644,0.9052,0.0904,0.2878,0.964
21:31:45:646,0.9027,0.0904,0.2908,0.963
21:31:45:650,0.9012,0.0909,0.2922,0.962
21:31:45:651,0.9000,0.0914,0.2944,0.961
21:31:45:651,0.8998,0.0921,0.2976,0.962
21:31:45:655,0.9003,0.0923,0.3001,0.964
21:31:45:656,0.9000,0.0923,0.3023,0.964
21:31:45:658,0.9008,0.0931,0.3047,0.966
21:31:45:660,0.9017,0.0943,0.3067,0.968
21:31:45:662,0.9032,0.0965,0.3081,0.970
21:31:45:665,0.9039,0.0992,0.3096,0.971
21:31:45:666,0.9042,0.1014,0.3101,0.972
21:31:45:667,0.9064,0.1036,0.3096,0.974
21:31:45:671,0.9096,0.1053,0.3091,0.977
21:31:45:672,0.9105,0.1068,0.3079,0.978
21:31:45:674,0.9103,0.1092,0.3064,0.978
21:31:45:675,0.9115,0.1124,0.3040,0.979
21:31:45:677,0.9127,0.1153,0.3018,0.979
21:31:45:679,0.9135,0.1173,0.2998,0.980
21:31:45:681,0.9144,0.1190,0.2974,0.980
21:31:45:683,0.9161,0.1212,0.2944,0.981
21:31:45:685,0.9176,0.1229,0.2913,0.982
21:31:45:689,0.9191,0.1244,0.2876,0.982
21:31:45:690,0.9205,0.1268,0.2856,0.984
21:31:45:692,0.9227,0.1292,0.2854,0.986
21:31:45:694,0.9240,0.1297,0.2839,0.987
21:31:45:696,0.9254,0.1287,0.2817,0.987
21:31:45:698,0.9259,0.1280,0.2825,0.988
21:31:45:700,0.9259,0.1280,0.2842,0.988
21:31:45:702,0.9252,0.1270,0.2881,0.989
21:31:45:703,0.9247,0.1261,0.2903,0.989
21:31:45:705,0.9245,0.1251,0.2913,0.989
21:31:45:707,0.9257,0.1244,0.2908,0.990
21:31:45:709,0.9286,0.1253,0.2864,0.991
21:31:45:712,0.9320,0.1273,0.2817,0.993
21:31:45:714,0.9347,0.1297,0.2778,0.995
21:31:45:716,0.9372,0.1327,0.2747,0.997
21:31:45:718,0.9401,0.1361,0.2720,0.999
21:31:45:720,0.9411,0.1390,0.2727,1.001
21:31:45:723,0.9357,0.1400,0.2791,0.998
21:31:45:725,0.9213,0.1366,0.2971,0.990
21:31:45:726,0.8993,0.1270,0.3284,0.978
21:31:45:727,0.8746,0.1077,0.3797,0.972
21:31:45:730,0.8568,0.0772,0.4393,0.978
21:31:45:732,0.8421,0.0147,0.4997,0.989
21:31:45:734,0.8482,-0.0254,0.4806,0.983
21:31:45:736,0.8739,-0.0244,0.3985,0.967
21:31:45:739,0.8998,-0.0279,0.3521,0.972
21:31:45:741,0.9152,-0.0430,0.3604,0.989
21:31:45:742,0.9205,-0.0591,0.3995,1.009
21:31:45:744,0.9201,-0.0701,0.4442,1.028
21:31:45:745,0.9113,-0.0953,0.5038,1.050
21:31:45:748,0.9022,-0.1412,0.5734,1.081
21:31:45:749,0.9061,-0.1461,0.5913,1.095
21:31:45:751,0.9149,-0.1165,0.5529,1.079
21:31:45:754,0.9293,-0.0792,0.5102,1.068
21:31:45:756,0.9521,-0.0535,0.5028,1.084
21:31:45:757,0.9745,-0.0374,0.5102,1.107
21:31:45:760,0.9929,-0.0222,0.5153,1.126
21:31:45:761,1.0061,-0.0071,0.5155,1.138
21:31:45:763,1.0148,0.0068,0.5133,1.145
21:31:45:765,1.0200,0.0188,0.5114,1.150
21:31:45:767,1.0173,0.0313,0.5089,1.147
21:31:45:769,1.0136,0.0493,0.4992,1.141
21:31:45:773,1.0166,0.0691,0.4811,1.137
21:31:45:774,1.0234,0.0889,0.4606,1.137
21:31:45:777,1.0268,0.1073,0.4444,1.135
21:31:45:778,1.0263,0.1156,0.4388,1.134
21:31:45:779,1.0224,0.1309,0.4305,1.129
21:31:45:781,1.0161,0.1461,0.4249,1.124
21:31:45:783,1.0087,0.1615,0.4205,1.118
21:31:45:785,0.9987,0.1749,0.4181,1.111
21:31:45:788,0.9872,0.1869,0.4154,1.102
21:31:45:789,0.9775,0.1981,0.4073,1.093
21:31:45:791,0.9701,0.2081,0.3968,1.085
21:31:45:793,0.9677,0.2140,0.3902,1.081
21:31:45:795,0.9648,0.2182,0.3843,1.077
21:31:45:797,0.9606,0.2221,0.3780,1.072
21:31:45:799,0.9623,0.2248,0.3719,1.072
21:31:45:801,0.9650,0.2279,0.3633,1.072
21:31:45:804,0.9645,0.2299,0.3516,1.068
21:31:45:806,0.9572,0.2287,0.3289,1.054
21:31:45:808,0.9428,0.2267,0.2988,1.031
21:31:45:810,0.9313,0.2233,0.2725,1.011
21:31:45:812,0.9264,0.2179,0.2470,0.998
21:31:45:814,0.9225,0.2103,0.2207,0.986
21:31:45:816,0.9147,0.2047,0.1943,0.971
21:31:45:818,0.9066,0.2025,0.1659,0.957
21:31:45:820,0.9022,0.2028,0.1310,0.947
21:31:45:823,0.8961,0.2030,0.0961,0.936
21:31:45:824,0.8951,0.1994,0.0736,0.932
21:31:45:826,0.8961,0.1947,0.0631,0.931
21:31:45:828,0.8951,0.1906,0.0470,0.927
21:31:45:830,0.8927,0.1820,0.0218,0.921
21:31:45:832,0.8910,0.1708,-0.0036,0.916
21:31:45:834,0.8959,0.1620,-0.0146,0.919
21:31:45:835,0.8971,0.1549,-0.0043,0.918
21:31:45:839,0.8915,0.1505,0.0238,0.913
21:31:45:840,0.8868,0.1500,0.0609,0.911
21:31:45:842,0.8885,0.1537,0.1002,0.917
21:31:45:843,0.8973,0.1654,0.1320,0.933
21:31:45:846,0.9042,0.1749,0.1349,0.942
21:31:45:848,0.9030,0.1627,0.1330,0.938
21:31:45:850,0.8993,0.1461,0.1469,0.933
21:31:45:851,0.8995,0.1346,0.1706,0.936
21:31:45:853,0.8986,0.1287,0.1955,0.939
21:31:45:858,0.8988,0.1261,0.2197,0.944
21:31:45:860,0.9012,0.1263,0.2409,0.952
21:31:45:861,0.9022,0.1275,0.2488,0.956
21:31:45:862,0.9056,0.1312,0.2580,0.962
21:31:45:863,0.9047,0.1368,0.2576,0.962
21:31:45:866,0.8983,0.1439,0.2490,0.955
21:31:45:867,0.8920,0.1488,0.2348,0.946
21:31:45:870,0.8841,0.1542,0.2138,0.935
21:31:45:872,0.8741,0.1586,0.1882,0.920
21:31:45:878,0.8607,0.1620,0.1571,0.902
21:31:45:880,0.8585,0.1664,0.1283,0.895
21:31:45:881,0.8624,0.1717,0.1046,0.897
21:31:45:882,0.8658,0.1735,0.0907,0.899
21:31:45:884,0.8309,0.1776,0.1105,0.869
21:31:45:885,0.7674,0.1818,0.1501,0.817
21:31:45:885,0.7415,0.1793,0.1630,0.795
21:31:45:888,0.7495,0.1752,0.1530,0.799
21:31:45:892,0.7617,0.1659,0.1518,0.808
21:31:45:894,0.7818,0.1539,0.1628,0.826
21:31:45:895,0.7991,0.1471,0.1674,0.842
21:31:45:896,0.7984,0.1480,0.1662,0.841
21:31:45:898,0.7845,0.1608,0.1593,0.830
21:31:45:899,0.7891,0.1859,0.1476,0.838
21:31:45:902,0.8121,0.2206,0.1576,0.872
21:31:45:903,0.8756,0.2597,0.0763,0.932
21:31:45:906,0.9499,0.2372,0.0108,0.991
21:31:45:908,1.0241,0.2045,0.0125,1.054
21:31:45:909,1.0862,0.1957,0.0103,1.112
21:31:45:911,1.1148,0.1940,0.0069,1.140
21:31:45:913,1.1170,0.1952,0.0071,1.142
21:31:45:916,1.1109,0.1918,0.0181,1.136
21:31:45:917,1.1187,0.1823,0.0389,1.142
21:31:45:919,1.1431,0.1717,0.0599,1.165
21:31:45:923,1.1751,0.1590,0.0760,1.195
